Fecha,Confirmados,Activos,Recuperados,Fallecidos
12/09/2020,81658,8306,70403,2949
13/09/2020,81909,8025,70927,2957
14/09/2020,82172,7848,71352,2972
15/09/2020,82684,7717,71983,2984
16/09/2020,82924,7353,72562,3009
17/09/2020,83664,7368,73260,3036
18/09/2020,84344,7520,73748,3076
19/09/2020,85152,7550,74497,3105
20/09/2020,85444,7466,74859,3119
21/09/2020,85681,7385,75172,3124
22/09/2020,86623,7617,75869,3137
23/09/2020,87442,7829,76459,3154
24/09/2020,87933,8304,76459,3170
25/09/2020,88878,7942,77750,3186
26/09/2020,89702,8205,78284,3213
27/09/2020,90092,8165,78698,3229
28/09/2020,90263,7962,79067,3234
29/09/2020,90968,8076,79654,3238
30/09/2020,91746,8244,80256,3246
01/10/2020,92409,8348,80800,3261
02/10/2020,93090,8357,81466,3267
03/10/2020,93748,8423,82040,3285
04/10/2020,93963,8216,82454,3293
05/10/2020,94182,8052,82828,3302
06/10/2020,94870,8080,83480,3310
07/10/2020,95704,8333,84036,3335
08/10/2020,96480,8395,84738,3347
09/10/2020,96935,8395,85343,3356
10/10/2020,97544,8133,86046,3365
11/10/2020,97715,7749,86582,3384
12/10/2020,97826,7423,87016,3387
13/10/2020,98380,7226,87744,3410
14/10/2020,99094,7248,88416,3430
15/10/2020,99765,7381,88931,3453
16/10/2020,100431,7459,89494,3478
17/10/2020,101028,7512,90001,3515
18/10/2020,101360,7220,90610,3530
19/10/2020,101599,7026,91032,3541
20/10/2020,102219,7069,91064,3546
21/10/2020,102415,6699,92149,3567
22/10/2020,103172,6927,92665,3580
23/10/2020,103902,6967,93341,3594
24/10/2020,104632,7143,93880,3609
25/10/2020,104787,6926,94217,3644
26/10/2020,104894,6713,94530,3651
27/10/2020,105571,6700,95206,3665
28/10/2020,106320,6886,95752,3682
29/10/2020,106790,6899,96187,3704
30/10/2020,107339,6873,96752,3714
31/10/2020,107939,9321,97289,3729
1/11/2020,108104,6610,97756,3738
02/11/2020,108483,6077,98658,3748
03/11/2020,109147,6228,99167,3752
04/11/2020,109849,6330,99753,3766
05/11/2020,110502,6389,100319,3794
06/11/2020,111050,6431,100808,3811
07/11/2020,111262,6306,101135,3821
08/11/2020,111360,6059,101478,3823
09/11/2020,112129,6157,102140,3832
10/11/2020,112811,6323,102643,3845
11/11/2020,113543,6511,103174,3858
12/11/2020,114123,6558,103685,3880
13/11/2020,114719,6664,104134,3920
14/11/2020,114885,6515,104438,3932
15/11/2020,115032,6308,104786,3938
16/11/2020,115730,6428,105355,3947
17/11/2020,116381,6665,105708,4008
18/11/2020,117066,6711,106305,4050
19/11/2020,117757,6965,106725,4067
20/11/2020,118448,7102,107421,4087
21/11/2020,118629,7140,107413,4076
22/11/2020,118722,6811,107819,4092
23/11/2020,119349,6912,108338,4099
24/11/2020,119989,7028,108854,4107
25/11/2020,120685,7246,109306,4133
26/11/2020,121132,7372,109619,4141
27/11/2020,121798,7428,110209,4161
28/11/2020,121971,7217,110588,4166
29/11/2020,122062,6947,110944,4171
30/11/2020,122774,7022,111574,4178
01/12/2020,123460,7088,112181,4191
02/12/2020,124053,7125,112719,4209
03/12/2020,124805,7308,113273,4224
04/12/2020,125352,7243,113870,4239
05/12/2020,125550,6985,114315,4250
06/12/2020,125674,6703,114697,4274
07/12/2020,126473,6781,115406,4286
08/12/2020,127127,6885,115931,4311
09/12/2020,127786,6999,116442,4345
10/12/2020,128541,7152,117013,4376
11/12/2020,129099,7079,117615,4405
12/12/2020,129282,6936,117923,4423
13/12/2020,129405,6743,118217,4445
14/12/2020,130082,6813,118793,4476
15/12/2020,130828,7030,119288,4510
16/12/2020,131435,7136,119748,4551
17/12/2020,132062,7216,120257,4589
18/12/2020,132595,7256,120715,4624
19/12/2020,132765,7115,120994,4656
20/12/2020,132867,6842,121337,4688
21/12/2020,133601,6947,121936,4718
22/12/2020,134256,7079,122438,4739
23/12/2020,134894,7180,122965,4749
24/12/2020,135080,6978,123345,4757
25/12/2020,135171,6515,123893,4763
26/12/2020,135309,6274,124267,4768
27/12/2020,135441,6064,124604,4773
28/12/2020,136287,6345,125161,4781
29/12/2020,137166,6733,125630,4803
30/12/2020,138012,7171,126028,4813
31/12/2020,138236,6810,126606,4820
01/01/2021,138316,6426,127063,4827
02/01/2021,138475,6192,127450,4833
03/01/2021,138656,6024,127797,4835
04/01/2021,139419,6205,128355,4859
05/01/2021,140202,6351,128952,4899
06/01/2021,141072,6604,129542,4928
07/01/2021,142062,7102,129990,4972
08/01/2021,143127,7579,130549,4999
09/01/2021,143243,7201,131017,5025
11/01/2021,144982,7928,131974,5080
12/01/2021,145986,8362,132507,5117
13/01/2021,146937,8704,133082,5151
14/01/2021,147560,9166,133217,5177
15/01/2021,148598,9590,133788,5220
16/01/2021,148888,9290,134344,5254
17/01/2021,149146,9044,134824,5278
18/01/2021,150277,9370,135594,5313
19/01/2021,151324,9737,136244,5343
20/01/2021,152395,10026,136980,5389
21/01/2021,152956,10444,137092,5420
22/01/2021,153890,10723,137711,5456
23/01/2021,154212,10287,138460,5465
24/01/2021,154430,9848,139113,5469
25/01/2021,155459,9665,140308,5486
26/01/2021,156497,9503,141481,5513
27/01/2021,157595,9732,142320,5543
